2025-02-25 22:18:22,524 - INFO - Experiment Configuration:
2025-02-25 22:18:22,525 - INFO - model_selected: TimeLLM
2025-02-25 22:18:22,525 - INFO - conf_path: ./conf/TimeLLM.json
2025-02-25 22:18:22,525 - INFO - data_path: ../Data/SEAnet/data_250M_seed1184_len256_znorm.bin
2025-02-25 22:18:22,525 - INFO - llm_path: ../Model/
2025-02-25 22:18:22,525 - INFO - train_path: ./example/TimeLLM/sample/train.bin
2025-02-25 22:18:22,525 - INFO - val_path: ./example/TimeLLM/sample/val.bin
2025-02-25 22:18:22,525 - INFO - test_path: ./example/TimeLLM/sample/test.bin
2025-02-25 22:18:22,525 - INFO - train_indices_path: ./example/TimeLLM/sample/train_indices.bin
2025-02-25 22:18:22,525 - INFO - val_indices_path: ./example/TimeLLM/sample/val_indices.bin
2025-02-25 22:18:22,525 - INFO - test_indices_path: ./example/TimeLLM/sample/test_indices.bin
2025-02-25 22:18:22,525 - INFO - log_path: ./example/TimeLLM/log/example.log
2025-02-25 22:18:22,525 - INFO - model_path: ./example/TimeLLM/model/
2025-02-25 22:18:22,525 - INFO - device: cuda:3
2025-02-25 22:18:22,525 - INFO - GPUs: [3]
2025-02-25 22:18:22,525 - INFO - llm_type: gpt2
2025-02-25 22:18:22,525 - INFO - llm_layers: 6
2025-02-25 22:18:22,525 - INFO - epoch_max: 100
2025-02-25 22:18:22,525 - INFO - len_series: 256
2025-02-25 22:18:22,525 - INFO - len_reduce: 16
2025-02-25 22:18:22,525 - INFO - batch_size: 256
2025-02-25 22:18:22,525 - INFO - data_size: 1000000
2025-02-25 22:18:22,525 - INFO - train_size: 200000
2025-02-25 22:18:22,525 - INFO - val_size: 10000
2025-02-25 22:18:22,525 - INFO - test_size: 10000
2025-02-25 22:18:22,525 - INFO - patch_len: 16
2025-02-25 22:18:22,525 - INFO - stride: 8
2025-02-25 22:18:22,525 - INFO - head_num: 8
2025-02-25 22:18:22,525 - INFO - dim_model: 128
2025-02-25 22:18:22,525 - INFO - dim_llm: 768
2025-02-25 22:18:22,525 - INFO - dim_ff: 128
2025-02-25 22:18:22,525 - INFO - reduced_vocab_size: 1000
2025-02-27 01:35:42,608 - INFO - epoch: 26, validate trans_err: 0.10519576
2025-02-27 01:35:42,667 - INFO - epoch: 27, start training
2025-02-27 02:39:56,691 - INFO - epoch: 27, validate trans_err: 0.10523410
2025-02-27 02:39:56,755 - INFO - epoch: 28, start training
2025-02-27 03:45:32,626 - INFO - epoch: 28, validate trans_err: 0.10501246
2025-02-27 03:45:32,666 - INFO - epoch: 29, start training
2025-02-27 04:51:38,250 - INFO - epoch: 29, validate trans_err: 0.10297191
2025-02-27 04:51:38,310 - INFO - epoch: 30, start training
2025-02-27 05:55:16,305 - INFO - epoch: 30, validate trans_err: 0.10389141
2025-02-27 05:55:17,592 - INFO - Model in epoch: 30 saved successfully.
2025-02-27 05:55:17,634 - INFO - epoch: 31, start training
2025-02-27 06:55:08,681 - INFO - epoch: 31, validate trans_err: 0.10218556
2025-02-27 06:55:08,738 - INFO - epoch: 32, start training
2025-02-27 07:53:20,738 - INFO - epoch: 32, validate trans_err: 0.10234068
2025-02-27 07:53:20,779 - INFO - epoch: 33, start training
2025-02-27 08:51:08,709 - INFO - epoch: 33, validate trans_err: 0.10127030
2025-02-27 08:51:08,750 - INFO - epoch: 34, start training
2025-02-27 09:49:53,787 - INFO - epoch: 34, validate trans_err: 0.10030995
2025-02-27 09:49:53,828 - INFO - epoch: 35, start training
2025-02-27 10:47:13,291 - INFO - epoch: 35, validate trans_err: 0.10615058
2025-02-27 10:47:13,332 - INFO - epoch: 36, start training
2025-02-27 11:39:57,671 - INFO - epoch: 36, validate trans_err: 0.10127781
2025-02-27 11:39:57,712 - INFO - epoch: 37, start training
2025-02-27 12:21:13,986 - INFO - epoch: 37, validate trans_err: 0.10518599
2025-02-27 12:21:14,027 - INFO - epoch: 38, start training
2025-02-27 13:02:34,936 - INFO - epoch: 38, validate trans_err: 0.09844039
2025-02-27 13:02:34,995 - INFO - epoch: 39, start training
2025-02-27 13:46:08,851 - INFO - epoch: 39, validate trans_err: 0.10081194
2025-02-27 13:46:08,892 - INFO - epoch: 40, start training
2025-02-27 14:25:59,543 - INFO - epoch: 40, validate trans_err: 0.10053229
