2025-02-25 22:14:37,629 - INFO - Experiment Configuration:
2025-02-25 22:14:37,629 - INFO - model_selected: AutoTimes
2025-02-25 22:14:37,629 - INFO - conf_path: ./conf/AutoTimes.json
2025-02-25 22:14:37,629 - INFO - data_path: ../Data/SEAnet/data_250M_seed1184_len256_znorm.bin
2025-02-25 22:14:37,629 - INFO - llm_path: ../Model/
2025-02-25 22:14:37,629 - INFO - train_path: ./example/AutoTimes/sample/train.bin
2025-02-25 22:14:37,629 - INFO - val_path: ./example/AutoTimes/sample/val.bin
2025-02-25 22:14:37,629 - INFO - test_path: ./example/AutoTimes/sample/test.bin
2025-02-25 22:14:37,629 - INFO - train_indices_path: ./example/AutoTimes/sample/train_indices.bin
2025-02-25 22:14:37,629 - INFO - val_indices_path: ./example/AutoTimes/sample/val_indices.bin
2025-02-25 22:14:37,629 - INFO - test_indices_path: ./example/AutoTimes/sample/test_indices.bin
2025-02-25 22:14:37,629 - INFO - log_path: ./example/AutoTimes/log/example.log
2025-02-25 22:14:37,629 - INFO - model_path: ./example/AutoTimes/model/
2025-02-25 22:14:37,629 - INFO - device: cuda:7
2025-02-25 22:14:37,630 - INFO - GPUs: [7]
2025-02-25 22:14:37,630 - INFO - llm_type: gpt2
2025-02-25 22:14:37,630 - INFO - llm_layers: 6
2025-02-25 22:14:37,630 - INFO - head_num: 8
2025-02-25 22:14:37,630 - INFO - dim_llm: 768
2025-02-25 22:14:37,630 - INFO - epoch_max: 100
2025-02-25 22:14:37,630 - INFO - len_series: 256
2025-02-25 22:14:37,630 - INFO - len_reduce: 16
2025-02-25 22:14:37,630 - INFO - batch_size: 1024
2025-02-25 22:14:37,630 - INFO - data_size: 1000000
2025-02-25 22:14:37,630 - INFO - train_size: 200000
2025-02-25 22:14:37,630 - INFO - val_size: 10000
2025-02-25 22:14:37,630 - INFO - test_size: 10000
2025-02-25 22:14:37,630 - INFO - win_size: 16
2025-02-25 22:14:37,630 - INFO - stride: 16
2025-02-25 22:14:37,630 - INFO - mlp_layers: 2
2025-02-25 22:14:37,630 - INFO - mlp_dim: 512
2025-02-25 22:14:37,630 - INFO - in_channels: 1
2025-02-25 22:14:37,630 - INFO - out_channels: 4
2025-02-25 22:14:37,630 - INFO - activation: tanh
2025-02-25 22:14:37,630 - INFO - dropout: 0.1
2025-02-25 22:14:37,630 - INFO - Model initializing...
2025-02-25 22:14:37,641 - INFO - Using 1 GPUs
2025-02-25 23:31:39,168 - INFO - epoch: 27, start training
2025-02-25 23:34:43,985 - INFO - epoch: 27, validate trans_err: 0.03595700
2025-02-25 23:34:44,012 - INFO - epoch: 28, start training
2025-02-25 23:37:45,800 - INFO - epoch: 28, validate trans_err: 0.03400043
2025-02-25 23:37:45,826 - INFO - epoch: 29, start training
2025-02-25 23:40:50,590 - INFO - epoch: 29, validate trans_err: 0.03263015
2025-02-25 23:40:50,616 - INFO - epoch: 30, start training
2025-02-25 23:43:53,682 - INFO - epoch: 30, validate trans_err: 0.03344890
2025-02-25 23:43:54,908 - INFO - Model in epoch: 30 saved successfully.
2025-02-25 23:43:54,940 - INFO - epoch: 31, start training
2025-02-25 23:46:55,092 - INFO - epoch: 31, validate trans_err: 0.03297495
2025-02-25 23:46:55,118 - INFO - epoch: 32, start training
2025-02-25 23:49:59,583 - INFO - epoch: 32, validate trans_err: 0.03337369
2025-02-25 23:49:59,609 - INFO - epoch: 33, start training
2025-02-25 23:53:08,270 - INFO - epoch: 33, validate trans_err: 0.03116395
2025-02-25 23:53:08,299 - INFO - epoch: 34, start training
2025-02-25 23:56:16,543 - INFO - epoch: 34, validate trans_err: 0.03174290
2025-02-25 23:56:16,569 - INFO - epoch: 35, start training
2025-02-25 23:59:26,522 - INFO - epoch: 35, validate trans_err: 0.03237209
2025-02-25 23:59:26,550 - INFO - epoch: 36, start training
2025-02-26 00:03:04,500 - INFO - epoch: 36, validate trans_err: 0.02928711
2025-02-26 00:03:04,582 - INFO - epoch: 37, start training
2025-02-26 00:06:38,564 - INFO - epoch: 37, validate trans_err: 0.03020125
2025-02-26 00:06:38,590 - INFO - epoch: 38, start training
2025-02-26 00:10:12,940 - INFO - epoch: 38, validate trans_err: 0.02989302
2025-02-26 00:10:12,996 - INFO - epoch: 39, start training
2025-02-26 00:13:47,466 - INFO - epoch: 39, validate trans_err: 0.02948905
2025-02-26 00:13:47,492 - INFO - epoch: 40, start training
2025-02-26 00:17:27,451 - INFO - epoch: 40, validate trans_err: 0.02862735
2025-02-26 00:17:28,816 - INFO - Model in epoch: 40 saved successfully.
2025-02-26 00:17:28,843 - INFO - epoch: 41, start training
2025-02-26 00:21:12,105 - INFO - epoch: 41, validate trans_err: 0.02821489
2025-02-26 00:21:12,136 - INFO - epoch: 42, start training
2025-02-26 00:24:44,526 - INFO - epoch: 42, validate trans_err: 0.02908947
2025-02-26 00:24:44,558 - INFO - epoch: 43, start training
2025-02-26 00:28:17,082 - INFO - epoch: 43, validate trans_err: 0.02797106
2025-02-26 00:28:17,108 - INFO - epoch: 44, start training
2025-02-26 00:31:49,336 - INFO - epoch: 44, validate trans_err: 0.02731753
2025-02-26 00:31:49,364 - INFO - epoch: 45, start training
2025-02-26 00:35:25,182 - INFO - epoch: 45, validate trans_err: 0.02791661
2025-02-26 00:35:25,208 - INFO - epoch: 46, start training
2025-02-26 00:38:59,192 - INFO - epoch: 46, validate trans_err: 0.02962612
2025-02-26 00:38:59,233 - INFO - epoch: 47, start training
2025-02-26 00:42:30,894 - INFO - epoch: 47, validate trans_err: 0.02747694
2025-02-26 00:42:30,932 - INFO - epoch: 48, start training
